code,segment,kind,time,time_human,field,lib_val,fresh_val,abs_diff
600039,daily,TIME_MISSING_FRESH,1542556800000,2018-11-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542643200000,2018-11-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542729600000,2018-11-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542816000000,2018-11-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542902400000,2018-11-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543161600000,2018-11-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543248000000,2018-11-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543334400000,2018-11-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543420800000,2018-11-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543507200000,2018-11-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543766400000,2018-12-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543852800000,2018-12-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1543939200000,2018-12-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544025600000,2018-12-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544112000000,2018-12-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544371200000,2018-12-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544457600000,2018-12-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544544000000,2018-12-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544630400000,2018-12-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544716800000,2018-12-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1544976000000,2018-12-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545062400000,2018-12-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545148800000,2018-12-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545235200000,2018-12-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545321600000,2018-12-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545580800000,2018-12-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545667200000,2018-12-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545753600000,2018-12-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545840000000,2018-12-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1545926400000,2018-12-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546358400000,2019-01-01 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546444800000,2019-01-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546531200000,2019-01-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546790400000,2019-01-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546876800000,2019-01-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1546963200000,2019-01-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547049600000,2019-01-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547136000000,2019-01-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547395200000,2019-01-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547481600000,2019-01-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547568000000,2019-01-15 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547654400000,2019-01-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1547740800000,2019-01-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548000000000,2019-01-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548086400000,2019-01-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548172800000,2019-01-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548259200000,2019-01-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548345600000,2019-01-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548604800000,2019-01-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548691200000,2019-01-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548777600000,2019-01-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548864000000,2019-01-30 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1548950400000,2019-01-31 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1549814400000,2019-02-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1549900800000,2019-02-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1549987200000,2019-02-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550073600000,2019-02-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550160000000,2019-02-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550419200000,2019-02-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550505600000,2019-02-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550592000000,2019-02-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550678400000,2019-02-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1550764800000,2019-02-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551024000000,2019-02-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551110400000,2019-02-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551196800000,2019-02-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551283200000,2019-02-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551369600000,2019-02-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551628800000,2019-03-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551715200000,2019-03-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551801600000,2019-03-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551888000000,2019-03-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1551974400000,2019-03-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552233600000,2019-03-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552320000000,2019-03-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552406400000,2019-03-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552492800000,2019-03-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552579200000,2019-03-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552838400000,2019-03-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1552924800000,2019-03-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553011200000,2019-03-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553097600000,2019-03-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553184000000,2019-03-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553443200000,2019-03-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553529600000,2019-03-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553616000000,2019-03-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553702400000,2019-03-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1553788800000,2019-03-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554048000000,2019-03-31 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554134400000,2019-04-01 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554220800000,2019-04-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554307200000,2019-04-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554652800000,2019-04-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554739200000,2019-04-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554825600000,2019-04-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554912000000,2019-04-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1554998400000,2019-04-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555257600000,2019-04-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555344000000,2019-04-15 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555430400000,2019-04-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555516800000,2019-04-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555603200000,2019-04-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555862400000,2019-04-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1555948800000,2019-04-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1556035200000,2019-04-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1556121600000,2019-04-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1556208000000,2019-04-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1556467200000,2019-04-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1556553600000,2019-04-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1557072000000,2019-05-05 16:00:00,,,,
