code,end_date,fi_ann_date,fi_eps_orig,fi_data_source,ic_ann_date,ic_basic_eps
003000,1569772800000,1603382400000,,mcp,1603382400000,0.2187
003000,1585584000000,1619539200000,,mcp,1619539200000,0.072
003000,1593446400000,1629388800000,,mcp,1629388800000,0.18
003001,1569772800000,1603814400000,,mcp,1603814400000,1.15
003001,1585584000000,1618416000000,,mcp,1618416000000,0.17
003001,1719676800000,1724947200000,,mcp,1724947200000,0.16
003002,1569772800000,1603296000000,,mcp,1603296000000,0.41
003002,1585584000000,1619625600000,,mcp,1619625600000,0.02
003003,1569772800000,1603987200000,,mcp,1603987200000,0.43
003003,1585584000000,1618416000000,,mcp,1618416000000,0.08
003003,1688054400000,1693324800000,,mcp,1693324800000,0.11
003004,1585584000000,1618848000000,,mcp,1618848000000,0.23
003005,1569772800000,1604073600000,,mcp,1604073600000,1.0985
003005,1585584000000,1619712000000,,mcp,1619712000000,-0.1676
003006,1569772800000,1603900800000,,mcp,1603900800000,0.22
003007,1569772800000,1603296000000,,mcp,1603296000000,-0.41
003007,1585584000000,1619712000000,,mcp,1619712000000,-0.21
003008,1569772800000,1603296000000,,mcp,1603296000000,1.57
003009,1569772800000,1603641600000,,mcp,1603641600000,0.51
003009,1585584000000,1619712000000,,mcp,1619712000000,0.16
003010,1585584000000,1619625600000,,mcp,1619625600000,0.149
003011,1569772800000,1603814400000,,mcp,1603814400000,1.8
003011,1585584000000,1619020800000,,mcp,1619020800000,0.57
003012,1569772800000,1603382400000,,mcp,1603382400000,0.55
003012,1585584000000,1619539200000,,mcp,1619539200000,-0.11
003013,1585584000000,1618934400000,,mcp,1618934400000,0.22
003015,1569772800000,1603987200000,,mcp,1603987200000,0.3
003015,1585584000000,1619107200000,,mcp,1619107200000,0.06
003016,1585584000000,1619539200000,,mcp,1619539200000,0.1234
003016,1751212800000,1756396800000,,mcp,1756396800000,0.0351
003017,1569772800000,1604073600000,,mcp,1604073600000,1.2507
003017,1585584000000,1619625600000,,mcp,1619625600000,0.46
003017,1688054400000,1693324800000,,mcp,1693324800000,0.4102
003018,1585584000000,1618848000000,,mcp,1618848000000,0.04
003019,1585584000000,1619452800000,,mcp,1619452800000,0.34
003019,1767110400000,1773763200000,,mcp,1773763200000,1.13
003020,1585584000000,1619452800000,,mcp,1619452800000,0.42
003021,1585584000000,1618934400000,,mcp,1618934400000,0.56
003022,1585584000000,1619020800000,,mcp,1619020800000,0.11
003022,1743350400000,1745596800000,,mcp,1745596800000,0.05
003023,1585584000000,1618848000000,,mcp,1618848000000,0.41
003025,1585584000000,1619539200000,,mcp,1619539200000,0.13
003026,1585584000000,1619539200000,,mcp,1619539200000,0.16
003027,1585584000000,1619625600000,,mcp,1619625600000,0.33
003028,1585584000000,1619539200000,,mcp,1619539200000,0.22
003029,1585584000000,1619625600000,,mcp,1619625600000,-0.1
003030,1585584000000,1618848000000,,mcp,1618848000000,0.25
003031,1585584000000,1619020800000,,mcp,1619020800000,0.22
003032,1585584000000,1619539200000,,mcp,1619539200000,-0.007
003032,1601395200000,1635091200000,,mcp,1635091200000,0.04
003033,1585584000000,1619452800000,,mcp,1619452800000,0.28
003035,1585584000000,1619452800000,,mcp,1619452800000,0.0208
003036,1585584000000,1619452800000,,mcp,1619452800000,0.0061
003037,1585584000000,1619452800000,,mcp,1619452800000,-0.02
003038,1585584000000,1619452800000,,mcp,1619452800000,0.21
003038,1601395200000,1635177600000,,mcp,1635177600000,0.77
003039,1585584000000,1619539200000,,mcp,1619539200000,0.085
003039,1601395200000,1635177600000,,mcp,1635177600000,0.35
003040,1585584000000,1619625600000,,mcp,1619625600000,0.03
003040,1601395200000,1635350400000,,mcp,1635350400000,0.14
003040,1696003200000,1698422400000,,mcp,1698422400000,0.16
003041,1585584000000,1619625600000,,mcp,1619625600000,0.22
003041,1601395200000,1635177600000,,mcp,1635177600000,1.122
003042,1585584000000,1619625600000,,mcp,1619625600000,0.23
